Especie,Campo,Floresta Ombrófila Densa,Floresta Ombrófila Mista,Vassoural
Accipiter striatus,,,2,3
Amadonastur lacernulatus,,1,,
Amaurospiza moesta,,1,,
Anthus hellmayri,7,,,3
Anumbius annumbi,7,,,
Aramides saracura,6,2,10,5
Attila phoenicurus,,56,,
Attila rufus,,18,,
Automolus leucophthalmus,,18,,
Basileuterus culicivorus,,85,24,2
Batara cinerea,,4,6,
Brotogeris tirica,,17,,
Bubulcus ibis,,9,,
Buteo brachyurus,,1,1,
Cacicus chrysopterus,1,4,52,12
Campephilus robustus,,,3,
Camptostoma obsoletum,4,3,25,17
Campylorhamphus falcularius,,1,,
Caracara plancus,1,,,3
Cariama cristata,8,,,2
Carpornis cucullata,,60,,
Castanozoster thoracicus,,,6,9
Certhiaxis cinnamomeus,1,,,
Chaetura cinereiventris,,,,41
Chaetura meridionalis,,,,2
Chamaeza campanisona,,61,,
Chamaeza ruficauda,,,52,4
Chionomesa fimbriata,,1,,
Chiroxiphia caudata,,27,,
Chlorostilbon lucidus,8,2,6,8
Chrysuronia versicolor,,4,1,
Cichlocolaptes leucophrus,,2,,
Cinclodes pabsti,35,,,2
Clibanornis dendrocolaptoides,,,9,3
Cnemotriccus fuscatus,,2,,1
Colaptes campestris,32,,,11
Colaptes melanochloros,,1,,
Columbina talpacoti,3,,,
Conopophaga lineata,,9,7,
Cranioleuca obsoleta,,,39,11
Cryptopezus nattereri,,9,11,2
Crypturellus obsoletus,,15,45,5
Crypturellus tataupa,,10,1,
Cyanocorax caeruleus,19,16,46,34
Cyclarhis gujanensis,7,35,66,24
Dacnis cayana,,1,,
Dendrocolaptes platyrostris,,6,,
Dendroma rufa,,4,,
Donacospiza albifrons,4,,,11
Drymophila malura,,1,13,1
Drymophila rubricollis,,,1,
Dryocopus lineatus,,2,5,2
Dysithamnus mentalis,,34,,
Elaenia chilensis,,1,,2
Elaenia flavogaster,,1,,
Elaenia mesoleuca,14,8,97,32
Elaenia parvirostris,1,1,3,2
Eleoscytalopus indigoticus,,1,,
Emberizoides ypiranganus,15,,,21
Embernagra platensis,18,,,11
Euphonia chlorotica,,1,,
Euphonia violacea,,,1,
Falco sparverius,3,,,
Forpus xanthopterygius,,4,,
Furnarius rufus,,1,,
Geothlypis aequinoctialis,,,2,7
Geotrygon montana,,1,,
Gnorimopsar chopi,46,,,
Grallaria varia,,15,,
Habia rubica,,32,,
Heliobletus contaminatus,,3,13,2
Heliodoxa rubricauda,,3,,
Hemitriccus obsoletus,,1,1,
Herpsilochmus rufimarginatus,,2,,
Heteroxolmis dominicanus,11,,,2
Hylophilus poicilotis,,23,5,
Hypoedaleus guttatus,,5,1,
Ilicura militaris,,2,,
Knipolegus cyanirostris,,,1,
Knipolegus lophotes,2,,,
Lathrotriccus euleri,,31,8,1
Legatus leucophaius,,1,,
Lepidocolaptes falcinellus,,,35,3
Leptasthenura setaria,1,,89,22
Leptasthenura striolata,3,,11,32
Leptotila rufaxilla,,3,2,
